.;alert;.;.
.;alert/identifier;sitRep/messageID;.
.;alert/sender;/sitRep/preparedBy/personDetails/personName/nameElement;.
.;alert/sent;/sitRep/preparedBy/timeValue;.
.;alert/status;/sitRep/actionPlan;.
.;alert/msgType;/sitRep/report/extension/parameter/value;.
.;alert/source;/sitRep/nextContact;.
.;alert/scope;/sitRep/reportPurpose;.
.;alert/addresses;/sitRep/preparedBy/personDetails/addresses/address/freeTextAddress/addressLine;.
.;alert/code;/sitRep/preparedBy/personDetails/addresses/address/postCode/identifier;.
.;alert/note;/sitRep/report/extension/parameter/value;.
.;alert/incidents;/sitRep/incidentID;.
.;alert/info/category;/sitRep/report/extension/parameter/value;.
.;alert/info/event;/sitRep/report/extension/parameter/value;.
.;alert/info/responseType;/sitRep/report/extension/parameter/value;.
.;alert/info/urgency;/sitRep/urgency;.
.;alert/info/severity;/sitRep/severity;.
.;alert/info/certainty;/sitRep/reportConfidence;.
.;alert/info/audience;/sitRep/preparedBy/personDetails/personName/nameElement;.
.;alert/info/eventCode/valueName;/sitRep/report/extension/parameter/nameURI;.
.;alert/info/eventCode/value;/sitRep/report/extension/parameter/value;.
.;alert/info/effective;sitRep/forTimePeriod/fromDateTime;.
.;alert/info/onset;.;.
.;alert/info/expires;sitRep/forTimePeriod/toDateTime;.
.;alert/info/senderName;/sitRep/preparedBy/personDetails/personName/nameElement;.
.;alert/info/headline;sitRep/reportTitle;.
.;alert/info/description;/sitRep/report/extension/parameter/value;.
.;alert/info/instruction;/sitRep/report/extension/parameter/value;.
.;alert/info/contact;/sitRep/authorizedBy/personDetails/personName/nameElement;.
.;alert/info/area/areaDesc;/sitRep/incidentID;.
.;alert/info/area/polygon;/sitRep/reportingLocation/EDXLGeoLocation/polygon;.
.;alert/info/area/geocode/valueName;/sitRep/incidentID;.
.;alert/info/area/geocode/value;/sitRep/incidentID;.
.;alert/info/area/altitude;/sitRep/incidentID;.